050250	台山		台山	TAISHAN	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050260	普宁		普宁	PUNING	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050270	南沙		南沙开发区	NANSHA	050	广东省	GUANGDONG	其他	其他	2015-08-10 17:33:18	2.0
050280	龙川		龙川	LONGCHUAN	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
050290	鹤山		鹤山	HESHAN	050	广东省	GUANGDONG	广州	华南区	2015-08-10 17:33:18	2.0
060	江苏省		江苏省	JIANGSU	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060010	江苏省		江苏省	JIANGSU	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020	南京		南京	NANJING	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020010	玄武区		南京	XUANWU	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020020	白下区		南京	BAIXIA	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020030	秦淮区		南京	QINHUAI	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020040	建邺区		南京	JIANYE	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020050	鼓楼区		南京	GULOU	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020060	下关区		南京	XIAGUAN	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020070	浦口区		南京	PUKOU	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020080	六合区		南京	LIUHE	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020090	栖霞区		南京	QIXIA	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020100	雨花台区		南京	YUHUATAI	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020110	江宁区		南京	YUHUATAI	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020120	溧水县		南京	LISHUI	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020130	高淳县		南京	GAOCHUN	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060020140	大厂区		南京	DACHANGQU	060020	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060030	常熟		常熟	CHANGSHU	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040	常州		常州	CHANGZHOU	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040010	天宁区		常州	TIANNINGQU	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040020	钟楼区		常州	ZHONGLOUQU	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040030	戚墅堰区		常州	QISHUYANQU	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040040	郊区		常州	JIAOQU	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040050	新北区		常州	XINBEIQU	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040060	武进区		常州	WUJINQU	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040070	溧阳市		常州	LIYANGSHI	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060040080	金坛市		常州	JINTANSHI	060040	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060050	昆山		昆山	KUNSHAN	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060060	连云港		连云港	LIANYUNGANG	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
060070	南通		南通	NANTONG	060	江苏省	JIANGSU	南京	华东区	2015-08-10 17:33:18	2.0
